"","Species_ID","Years_Present","Mean_Z_Across_Years","p_value"
"1","mean_alti",18,-1.31044385464043,2.43809197020204e-23
"2","mean_alut",18,0.935827385700896,1.54765205111099e-12
"3","mean_auri",18,-0.304016925786432,8.60206498826171e-08
"4","mean_auro",18,0.272268832938401,4.54004843687051e-06
"5","mean_carn",18,-0.0935351856144355,0.00117234356235539
"6","mean_caur",18,-0.451770012434929,1.54072097924445e-15
"7","mean_chlo",18,0.0930092065477064,0.024902236150294
"8","mean_cons",18,0.089512722017833,0.0129254204406467
"9","mean_cram",18,1.05870874981794,1.13587556238313e-17
"10","mean_ctus",18,0.119425465377323,0.0254980389632207
"11","mean_diac",18,-0.350031494391995,1.51982771757837e-14
"12","mean_dipl",18,1.08546691093454,2.35053476561377e-11
"13","mean_elon",18,1.04549294122817,7.44363192926986e-12
"14","mean_ento",18,0.662611055099849,2.42102616682655e-10
"15","mean_flav",18,0.0814910201164322,0.0414343270835362
"16","mean_good",18,0.139867275994188,0.0125786871113779
"17","mean_guta",18,-0.191557210108503,0.00457532540680741
"18","mean_jord",18,0.339648136255563,1.24394826937164e-05
"19","mean_levi",18,0.315634002900662,4.53796978226926e-07
"20","mean_mela",18,-0.402754455452861,2.09340889763691e-13
"21","mean_mini",18,-0.211261968374305,4.47444856357821e-09
"22","mean_myst",18,-0.224827133474797,1.66303120590581e-13
"23","mean_nebu",18,-0.529857225276309,2.2206521987586e-14
"24","mean_omus",18,-0.190080640523942,2.09265628971271e-12
"25","mean_pauc",18,0.00274212436561429,0.950291367279031
"26","mean_pinn",18,-0.0827431522181801,0.00181314887443554
"27","mean_rube",18,0.133127457189445,0.00234420412459342
"28","mean_rufu",18,0.20456595137936,1.08026903317076e-05
"29","mean_saxi",18,0.809411101099123,9.14260102844549e-15
"30","mean_zace",18,1.12177613785727,2.73944931481721e-13
